id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37380,Handy to Brisbane Airport,161432,Ann,,Wavell Heights,-27.39613,153.05249,Entire home/apt,218,3,78,2025-11-02,0.50,2,305,22,
79050,"Your little ""crash pad"" or ""man cave""",373745,Duncan,,Woolloongabba,-27.49316,153.03877,Private room,63,3,439,2023-01-28,2.46,1,41,0,
325029,Sunny Home - 2 Bed & Deck,1564865,Roge,,West End,-27.48294,153.0108,Entire home/apt,271,2,211,2025-10-28,1.76,2,58,14,
458131,Classic Queenslander - 3 bedrooms,654019,Sue,,Fairfield - Dutton Park,-27.50951,153.02559,Entire home/apt,,14,2,2014-10-12,0.01,1,0,0,
468726,"Near the city By the river Close to UQ, Milton",2318421,Bell,,Auchenflower,-27.47546,153.00183,Entire home/apt,252,2,24,2025-01-27,0.15,5,274,1,
469007,Nice Room in Large Homely Residence,2328120,Peter,,Rocklea - Acacia Ridge,-27.59141,153.04508,Private room,51,2,56,2025-07-22,0.35,1,215,1,
472661,"Riverview, near Brisbane City ,",2318421,Bell,,Auchenflower,-27.475202560424805,153.00164794921875,Entire home/apt,286,2,28,2025-07-05,0.19,5,256,1,
500965,Family 3 Bedroom with aircon bedrooms,2471742,Albert,,Spring Hill,-27.46281,153.03009,Entire home/apt,527,3,125,2024-02-17,0.90,4,1,0,
540583,"Room 1 A room, a home a place to stay/base",2656870,Carol,,Riverhills,-27.56106,152.90842,Private room,50,1,440,2025-11-07,4.25,2,334,35,
554438,Tarragindi Airbnb 2 bedroom 1 bath,2725619,Andrea,,Tarragindi,-27.53652,153.04888,Private room,200,5,137,2023-06-23,0.84,5,337,0,
624126,Spacious 2BR  unit– 5 Min Walk Convention Centre,127135,Jan,,South Brisbane,-27.4781,153.01814,Entire home/apt,300,3,325,2025-10-03,2.01,1,123,20,
720741,Beautiful Suburban Acreage,2710969,Ming,,Rochedale - Burbank,-27.56861,153.13671,Private room,102,1,36,2025-08-22,0.83,2,363,5,
754266,Great House in the City Centre 1,3968712,Nancy,,Spring Hill,-27.46249,153.02234,Private room,103,90,29,2016-10-29,0.18,2,365,0,
938653,Brisbane CBD - Close to Everything,5070129,Jo,,Spring Hill,-27.46112,153.02605,Private room,101,2,48,2025-10-26,0.31,1,287,5,
964597,Great House in the City Centre 2,3968712,Nancy,,Spring Hill,-27.46428,153.02368,Private room,85,90,12,2015-10-09,0.08,2,365,0,
1090129,"Lone Pine Retreat - Bright and airy, pets welcome",5989897,Kate,,Enoggera,-27.4316,152.98991,Entire home/apt,162,2,115,2025-08-08,0.78,3,290,10,
1430137,Valley room with private courtyard,4967480,Rowan,,Fortitude Valley,-27.4568,153.03356,Private room,100,3,342,2025-10-21,2.30,3,96,35,
1442705,2 bedroom apartment in leafy suburb,7746724,Karen,,Kenmore,-27.51136,152.93874,Entire home/apt,175,7,57,2025-10-20,0.46,3,71,7,
1479909,The Heart of South Bank,6509735,Alex N Rhonda,,South Brisbane,-27.47838,153.02295,Private room,131,3,65,2024-05-20,0.44,1,0,0,
